Time,Temperature
11:07:36,31.80
11:07:37,31.75
11:07:38,31.84
11:07:39,31.90
11:07:40,31.80
11:07:41,31.87
11:07:42,31.98
11:07:43,31.95
11:07:44,32.13
11:07:45,32.01
11:07:46,32.05
11:07:47,31.97
11:07:48,31.92
11:07:49,32.13
11:07:50,32.02
11:07:51,31.78
11:07:52,31.77
11:07:53,31.91
11:07:54,31.92
11:07:55,31.90
11:07:56,31.87
11:07:57,31.79
11:07:58,31.87
11:07:59,31.82
11:08:00,31.70
11:08:01,31.73
11:08:02,31.66
11:08:03,31.76
11:08:04,31.76
11:08:05,31.79
11:08:06,31.54
11:08:07,31.67
11:08:08,31.79
11:08:09,31.68
11:08:10,31.79
11:08:11,31.66
11:08:12,31.67
11:08:13,31.58
11:08:14,31.41
11:08:15,31.51
11:08:16,31.51
11:08:17,31.61
11:08:18,31.54
11:08:19,31.62
11:08:20,31.55
11:08:21,31.73
11:08:22,31.46
11:08:23,31.57
11:08:24,31.54
11:08:25,31.67
11:08:26,31.87
11:08:27,31.60
11:08:28,31.49
11:08:29,31.62
11:08:30,31.67
11:08:31,31.43
11:08:32,31.71
11:08:33,31.61
11:08:34,31.59
11:08:35,31.54
11:08:36,31.62
11:08:37,31.49
11:08:38,31.42
11:08:39,31.48
11:08:40,31.76
11:08:41,31.51
11:08:42,31.59
11:08:43,31.47
11:08:44,31.27
11:08:45,31.57
11:08:46,31.38
11:08:47,31.40
11:08:48,31.23
11:08:49,31.57
11:08:50,31.27
11:08:51,31.49
11:08:52,31.45
11:08:53,31.57
11:08:54,31.61
11:08:55,31.45
11:08:56,31.36
11:08:57,31.50
11:08:58,31.20
11:08:59,31.39
11:09:00,31.43
11:09:01,31.41
11:09:02,31.45
11:09:03,31.45
11:09:04,31.30
11:09:05,31.46
11:09:06,31.54
11:09:07,31.34
11:09:08,31.43
11:09:09,31.39
11:09:10,31.56
11:09:11,31.32
11:09:12,31.18
11:09:13,31.30
11:09:14,31.39
11:09:15,31.48
11:09:16,31.27
11:09:17,31.50
11:09:18,31.34
11:09:19,31.40
11:09:20,31.16
11:09:21,31.37
11:09:22,31.54
11:09:23,31.36
