Date,Time,Acc,Gyro
2025-02-07,14:22:35,"0.15, -0.03, 0.99","-0.79, -0.49, 0.18"
2025-02-07,14:22:35,"0.15, -0.03, 1.00","-0.31, -0.18, -0.31"
2025-02-07,14:22:36,"0.15, -0.03, 1.00","-0.37, -0.31, -0.18"
2025-02-07,14:22:36,"0.15, -0.03, 1.00","-0.43, -0.24, -0.18"
2025-02-07,14:22:37,"0.15, -0.03, 1.00","-0.37, -0.24, -0.18"
2025-02-07,14:22:37,"0.15, -0.03, 1.00","-0.55, -0.43, 0.00"
2025-02-07,14:22:38,"0.15, -0.03, 1.00","-0.43, -0.37, -0.18"
2025-02-07,14:22:38,"0.15, -0.03, 1.00","-0.43, -0.37, -0.18"
2025-02-07,14:22:39,"0.15, -0.03, 1.00","-0.18, -0.12, -0.31"
2025-02-07,14:22:39,"0.18, -0.50, 1.42","8.12, 66.96, 112.00"
2025-02-07,14:22:40,"-0.71, -1.52, -0.18","55.30, 73.43, 8.00"
2025-02-07,14:22:40,"-0.61, -0.43, -0.04","75.26, 147.34, -120.97"
2025-02-07,14:22:41,"-0.95, -0.59, -0.08","25.39, 28.81, 55.30"
2025-02-07,14:22:41,"-0.69, -1.11, -0.51","91.31, -45.10, 9.70"
2025-02-07,14:22:42,"-0.34, 0.31, 0.11","151.61, -171.26, 231.26"
2025-02-07,14:22:42,"-0.31, -0.95, 1.57","-97.72, 113.40, -165.53"
2025-02-07,14:22:43,"-0.16, 0.08, 0.22","-81.42, -104.00, 102.17"
2025-02-07,14:22:43,"-0.05, -0.04, 1.44","83.07, -1.40, 5.86"
2025-02-07,14:22:44,"-0.02, -0.95, 1.40","-40.71, -91.92, -153.93"
2025-02-07,14:22:44,"-0.48, -0.39, 1.08","18.25, -27.04, -45.10"
2025-02-07,14:22:45,"-0.22, -1.06, 0.62","31.92, -109.86, -128.11"
2025-02-07,14:22:45,"-0.05, -0.28, 0.91","-63.60, 40.95, -3.23"
2025-02-07,14:22:46,"0.05, -0.23, 0.50","260.62, 311.34, 58.29"
2025-02-07,14:22:46,"-0.25, -0.74, 1.13","-123.23, 15.08, 19.59"
2025-02-07,14:22:47,"-0.49, -1.04, 0.01","-3.91, -45.35, 67.81"
