Date,Time,Acc,Gyro
2025-02-07,14:22:39,"0.18, -0.50, 1.42","8.12, 66.96, 112.00"
2025-02-07,14:22:40,"-0.71, -1.52, -0.18","55.30, 73.43, 8.00"
2025-02-07,14:22:41,"-0.69, -1.11, -0.51","91.31, -45.10, 9.70"
2025-02-07,14:22:42,"-0.34, 0.31, 0.11","151.61, -171.26, 231.26"
2025-02-07,14:22:42,"-0.31, -0.95, 1.57","-97.72, 113.40, -165.53"
2025-02-07,14:22:44,"-0.48, -0.39, 1.08","18.25, -27.04, -45.10"
2025-02-07,14:22:45,"-0.22, -1.06, 0.62","31.92, -109.86, -128.11"
2025-02-07,14:22:46,"-0.25, -0.74, 1.13","-123.23, 15.08, 19.59"
2025-02-07,14:22:47,"-0.26, -1.19, 0.54","52.86, 59.20, -147.22"
2025-02-07,14:22:48,"-0.27, -0.75, 1.09","-60.36, 69.15, -98.94"
2025-02-07,14:22:48,"-0.44, -0.58, 0.63","-2.32, -7.45, 0.61"
2025-02-07,14:22:49,"-0.19, -0.30, 0.85","-49.80, -135.56, 77.33"
2025-02-07,14:22:49,"0.22, -0.26, 0.82","-6.90, 17.09, -4.76"
2025-02-07,14:22:50,"0.22, -0.40, 0.90","49.62, 58.84, 18.07"
2025-02-07,14:22:50,"0.20, -0.65, 0.76","8.54, 1.65, -1.28"
2025-02-07,14:22:51,"0.21, -0.68, 0.73","-1.77, -0.55, 0.18"
2025-02-07,14:22:51,"0.21, -0.71, 0.72","-3.23, -0.24, 0.12"
2025-02-07,14:22:52,"0.21, -0.71, 0.70","-1.83, -0.43, 0.06"
2025-02-07,14:22:52,"0.21, -0.72, 0.70","-0.92, -0.37, -0.06"
2025-02-07,14:22:53,"0.20, -0.73, 0.69","-1.46, -0.49, 0.00"
2025-02-07,14:22:53,"0.20, -0.74, 0.68","-1.22, -0.43, -0.06"
2025-02-07,14:22:54,"0.21, -0.74, 0.67","-1.28, -0.43, -0.06"
2025-02-07,14:22:54,"0.20, -0.75, 0.67","-1.16, -0.37, -0.06"
2025-02-07,14:22:55,"0.20, -0.76, 0.66","-1.10, -0.43, -0.06"
2025-02-07,14:22:55,"0.20, -0.76, 0.66","-0.98, -0.43, -0.06"
2025-02-07,14:22:56,"0.20, -0.76, 0.65","-2.14, -0.61, 0.06"
2025-02-07,14:22:56,"0.20, -0.77, 0.65","-1.22, -0.43, -0.06"
2025-02-07,14:22:57,"0.20, -0.77, 0.64","-1.16, -0.43, -0.06"
2025-02-07,14:22:57,"0.20, -0.78, 0.64","-0.98, -0.37, -0.12"
2025-02-07,14:22:58,"0.20, -0.78, 0.63","-0.98, -0.37, -0.06"
2025-02-07,14:22:58,"0.20, -0.78, 0.63","-0.92, -0.31, -0.06"
2025-02-07,14:22:59,"0.20, -0.79, 0.62","-0.85, -0.43, -0.12"
2025-02-07,14:22:59,"0.20, -0.79, 0.62","-0.73, -0.37, -0.12"
2025-02-07,14:23:00,"0.20, -0.79, 0.62","-0.67, -0.37, -0.12"
2025-02-07,14:23:00,"0.20, -0.79, 0.62","-0.73, -0.37, -0.12"
2025-02-07,14:23:01,"0.20, -0.80, 0.61","-0.67, -0.37, -0.12"
2025-02-07,14:23:01,"0.20, -0.80, 0.61","-0.31, -0.37, -0.12"
2025-02-07,14:23:02,"0.16, -0.86, 0.56","66.28, 22.28, 10.68"
2025-02-07,14:23:02,"-0.84, -0.27, -0.75","36.93, -12.33, 7.45"
2025-02-07,14:23:03,"-0.18, -0.60, 0.80","-31.19, -11.66, -10.50"
2025-02-07,14:23:04,"0.14, -0.93, 0.53","61.04, 14.10, 1.46"
2025-02-07,14:23:04,"0.22, -0.51, 1.59","121.34, 151.06, 47.00"
2025-02-07,14:23:05,"0.25, -0.91, 0.37","96.37, -47.30, 416.99"
2025-02-07,14:23:05,"-0.97, -0.67, 0.20","19.53, 94.30, -79.10"
